Id,cycleName,distinctLanes,Radius,GridLength,Type,iterations,PhotonsDetected,cycleType,lanes,Photons,Milliseconds,PercentageTime,Percent
25,"[4,1]",4,7.276000000000003,10,B,10000,1500,QUAD,2,1200,6346,0.6346,0.8
25,"[4,1]",4,7.276000000000003,10,B,10000,1500,QUAD,3,0,159,0.0159,0
25,"[4,1]",4,7.276000000000003,10,B,10000,1500,QUAD,4,0,25,0.0025,0
26,"[4,1]",4,7.575000000000004,10,B,10000,1600,QUAD,1,200,2636,0.2636,0.125
26,"[4,1]",4,7.575000000000004,10,B,10000,1600,QUAD,2,1300,6676,0.6676,0.8125
26,"[4,1]",4,7.575000000000004,10,B,10000,1600,QUAD,3,100,589,0.0589,0.0625
26,"[4,1]",4,7.575000000000004,10,B,10000,1600,QUAD,4,0,99,0.0099,0
27,"[4,1]",4,7.874000000000004,10,B,10000,1800,QUAD,1,200,2027,0.2027,0.1111111111111111
27,"[4,1]",4,7.874000000000004,10,B,10000,1800,QUAD,2,1300,6737,0.6737,0.7222222222222222
27,"[4,1]",4,7.874000000000004,10,B,10000,1800,QUAD,3,300,1010,0.101,0.16666666666666666
27,"[4,1]",4,7.874000000000004,10,B,10000,1800,QUAD,4,0,226,0.0226,0
28,"[4,1]",4,8.173000000000004,10,B,10000,1900,QUAD,1,100,1475,0.1475,0.05263157894736842
28,"[4,1]",4,8.173000000000004,10,B,10000,1900,QUAD,2,1300,6651,0.6651,0.6842105263157895
28,"[4,1]",4,8.173000000000004,10,B,10000,1900,QUAD,3,400,1430,0.143,0.21052631578947367
28,"[4,1]",4,8.173000000000004,10,B,10000,1900,QUAD,4,100,444,0.0444,0.05263157894736842
29,"[4,1]",4,8.472000000000003,10,B,10000,2100,QUAD,1,100,1011,0.1011,0.047619047619047616
29,"[4,1]",4,8.472000000000003,10,B,10000,2100,QUAD,2,1200,6221,0.6221,0.5714285714285714
29,"[4,1]",4,8.472000000000003,10,B,10000,2100,QUAD,3,600,2043,0.2043,0.2857142857142857
29,"[4,1]",4,8.472000000000003,10,B,10000,2100,QUAD,4,200,725,0.0725,0.09523809523809523
30,"[4,1]",4,8.771000000000003,10,B,10000,2200,QUAD,1,0,618,0.0618,0
30,"[4,1]",4,8.771000000000003,10,B,10000,2200,QUAD,2,1100,5740,0.574,0.5
30,"[4,1]",4,8.771000000000003,10,B,10000,2200,QUAD,3,700,2593,0.2593,0.3181818181818182
